date, avg (temperature), max (temperature), min (temperature), avg (humidity), max (humidity), min (humidity), power, label
2021-12-06, 5.29, 11.9, -0.7, 59.87, 73, 39, 193.36, 0
2021-12-07, 7.02, 13.0, 2.6, 66.91, 82, 46, 174.32, 0
2021-12-08, 6.83, 13.2, 2.1, 69.74, 91, 45, 189.07, 0
2021-12-09, 6.26, 9.6, 2.8, 70.17, 84, 59, 214.47, 0
2021-12-10, 7.17, 8.2, 5.9, 80.09, 94, 68, 189.12, 0
2021-12-11, 6.01, 9.3, 4.5, 83.96, 95, 68, 216.78, 0
2021-12-12, 1.72, 4.8, -3.5, 63.74, 88, 37, 190.63, 0
2021-12-13, -2.34, 1.7, -5.8, 43.43, 53, 28, 221.78, 0
2021-12-14, 3.4, 8.1, -0.3, 62.13, 91, 48, 158.52, 0
2021-12-15, 7.29, 9.6, 5.5, 85.52, 98, 67, 196.41, 0
2021-12-16, 6.5, 9.7, 4.2, 71.74, 89, 38, 241.17, 0
2021-12-17, -4.82, 2.6, -9.9, 50.04, 67, 35, 220.05, 0
2021-12-18, -6.23, -1.9, -11.1, 60.43, 93, 34, 209.85, 0
2021-12-19, -0.79, 4.0, -5.7, 64.22, 99, 40, 188.84, 0
2021-12-20, 4.9, 11.0, -0.6, 76.17, 88, 58, 181.53, 0
2021-12-21, 5.68, 8.5, 1.5, 73.39, 98, 37, 213.03, 0
2021-12-22, 2.2, 8.0, -2.4, 46.35, 59, 31, 180.97, 0
2021-12-23, 2.65, 8.2, -1.4, 54.17, 67, 37, 234.53, 0
2021-12-24, 0.46, 3.2, -6.6, 67.0, 82, 60, 161.44, 0
2021-12-25, -11.36, -8.3, -14.4, 42.3, 49, 31, 151.11, 0
2021-12-26, -12.15, -7.6, -15.4, 42.83, 52, 31, 282.48, 0
2021-12-27, -7.85, -4.0, -12.8, 58.13, 81, 40, 197.52, 0
2021-12-28, -4.27, -0.9, -8.4, 73.83, 90, 58, 193.36, 0
2021-12-29, 0.57, 5.5, -3.8, 73.35, 87, 54, 126.89, 0
2021-12-30, -3.63, 0.2, -6.7, 48.96, 61, 35, 242.87, 0
2021-12-31, -6.53, -4.0, -8.8, 35.22, 42, 27, 196.02, 0
